Study_Hours,Internal_Marks,Extra_Activities,Sleep Hours,Assignment_Scores,Final_Marks,Attendance,Family_Income,Internet_Access,Placement_Status,Risk_Category,Performance_Level
5,66,No,7,2,49.0,79,72524,No,Placed,Safe,Average
3,67,Yes,9,0,50.0,82,36375,No,Not Placed,Safe,Average
9,65,Yes,7,6,60.0,85,96160,No,Not Placed,Safe,Good
9,66,No,6,0,60.0,86,38635,Yes,Placed,Safe,Good
4,91,No,8,0,74.0,60,48144,Yes,Not Placed,Safe,Good
4,88,Yes,5,0,71.0,79,57300,No,Placed,Safe,Good
8,81,Yes,9,3,77.0,83,34700,Yes,Not Placed,Safe,Good
2,60,No,8,3,34.0,68,74186,No,Placed,At Risk,Poor
9,40,Yes,8,9,39.0,83,50192,No,Placed,At Risk,Poor
6,93,No,8,5,85.0,93,86827,Yes,Not Placed,Safe,Excellent
9,67,No,4,9,64.0,83,33351,No,Placed,Safe,Good
8,87,Yes,8,2,87.0,66,63889,No,Placed,Safe,Excellent
7,97,Yes,7,9,91.0,98,33543,Yes,Placed,Safe,Excellent
1,97,Yes,4,5,73.0,63,37203,Yes,Placed,Safe,Good
3,54,No,4,6,34.0,72,27184,No,Not Placed,At Risk,Poor
2,94,No,8,0,70.0,92,35266,Yes,Not Placed,Safe,Good
5,56,No,9,5,42.0,84,62086,Yes,Not Placed,Safe,Average
5,65,Yes,9,9,55.0,60,90074,No,Not Placed,Safe,Average
5,59,Yes,9,0,45.0,81,78186,No,Not Placed,Safe,Average
4,64,No,9,6,49.0,85,50428,No,Not Placed,Safe,Average
5,52,No,7,9,37.0,91,58343,Yes,Not Placed,At Risk,Poor
3,72,Yes,9,4,55.0,86,54119,No,Not Placed,Safe,Average
1,64,No,5,9,38.0,91,90375,Yes,Not Placed,At Risk,Poor
5,47,Yes,8,3,35.0,78,22871,No,Placed,At Risk,Poor
9,44,Yes,4,0,41.0,70,74179,Yes,Placed,Safe,Average
9,45,No,5,8,43.0,88,91813,No,Placed,Safe,Average
4,62,No,9,6,46.0,79,29205,No,Not Placed,Safe,Average
3,91,No,5,1,69.0,93,59864,No,Not Placed,Safe,Good
1,69,No,4,3,37.0,99,79920,No,Placed,At Risk,Poor
2,53,No,9,3,31.0,65,64390,Yes,Not Placed,At Risk,Poor
8,93,Yes,5,7,90.0,61,33171,No,Not Placed,Safe,Excellent
1,62,No,7,1,33.0,69,98467,Yes,Not Placed,At Risk,Poor
8,50,Yes,7,4,44.0,78,80082,Yes,Placed,Safe,Average
7,70,No,8,9,62.0,65,22004,No,Not Placed,Safe,Good
8,45,No,8,7,41.0,93,90471,Yes,Not Placed,Safe,Average
6,50,No,5,5,38.0,80,80528,Yes,Not Placed,At Risk,Poor
9,52,No,4,3,45.0,81,26105,No,Not Placed,Safe,Average
3,51,No,7,4,34.0,74,88926,Yes,Placed,At Risk,Poor
4,93,No,6,1,72.0,97,82672,No,Not Placed,Safe,Good
6,41,Yes,8,4,29.0,96,94777,Yes,Not Placed,At Risk,Poor
8,92,No,7,2,83.0,76,24194,No,Not Placed,Safe,Excellent
5,74,No,9,2,61.0,96,20714,Yes,Placed,Safe,Good
3,94,No,5,6,75.0,96,33557,No,Not Placed,Safe,Good
6,75,No,7,2,63.0,81,30935,No,Placed,Safe,Good
4,56,Yes,7,3,36.0,73,56326,Yes,Not Placed,At Risk,Poor
9,67,Yes,5,6,62.0,80,62315,Yes,Placed,Safe,Good
3,67,Yes,8,2,49.0,79,99738,Yes,Placed,Safe,Average
4,61,Yes,8,9,46.0,65,72973,Yes,Placed,Safe,Average
7,77,Yes,6,9,69.0,62,76080,Yes,Placed,Safe,Good
7,46,Yes,6,1,35.0,68,23423,No,Placed,At Risk,Poor
4,54,No,8,9,38.0,70,85586,No,Not Placed,At Risk,Poor
6,71,No,8,6,62.0,71,80396,No,Not Placed,Safe,Good
3,50,Yes,8,4,30.0,86,45398,No,Not Placed,At Risk,Poor
6,63,No,8,0,52.0,61,58822,No,Not Placed,Safe,Average
2,42,No,7,9,16.0,70,24141,Yes,Placed,At Risk,Poor
8,69,No,6,7,66.0,77,52818,No,Placed,Safe,Good
2,45,No,5,2,20.0,61,58347,Yes,Not Placed,At Risk,Poor
7,97,No,4,6,86.0,85,56901,No,Not Placed,Safe,Excellent
9,41,Yes,5,5,38.0,77,24930,No,Not Placed,At Risk,Poor
1,53,Yes,9,9,30.0,95,38758,No,Placed,At Risk,Poor
8,80,Yes,4,5,71.0,93,21647,No,Placed,Safe,Good
7,57,Yes,7,7,49.0,82,53702,No,Placed,Safe,Average
6,90,Yes,9,3,79.0,75,55736,Yes,Placed,Safe,Good
6,83,Yes,6,3,69.0,70,82568,Yes,Not Placed,Safe,Good
6,70,No,4,2,56.0,97,63799,Yes,Not Placed,Safe,Average
9,52,Yes,8,0,47.0,62,50567,Yes,Placed,Safe,Average
2,65,No,9,9,41.0,91,47794,Yes,Placed,Safe,Average
1,83,No,7,2,58.0,98,51255,Yes,Placed,Safe,Average
6,51,Yes,4,0,38.0,76,32952,Yes,Not Placed,At Risk,Poor
8,57,Yes,8,5,52.0,66,83165,Yes,Placed,Safe,Average
3,48,Yes,9,7,25.0,75,57706,No,Placed,At Risk,Poor
1,88,No,7,2,62.0,63,27123,No,Placed,Safe,Good
9,60,Yes,9,3,60.0,64,77737,Yes,Placed,Safe,Good
1,87,Yes,4,4,63.0,62,50528,Yes,Placed,Safe,Good
3,88,Yes,8,6,72.0,76,61851,Yes,Not Placed,Safe,Good
8,92,No,6,5,84.0,79,94630,No,Placed,Safe,Excellent
3,95,Yes,7,1,74.0,77,84491,No,Placed,Safe,Good
4,79,Yes,4,6,61.0,76,90643,No,Not Placed,Safe,Good
8,82,No,8,7,77.0,81,67718,Yes,Placed,Safe,Good
1,63,No,6,0,36.0,80,52923,No,Not Placed,At Risk,Poor
6,73,No,9,5,65.0,81,30880,No,Placed,Safe,Good
1,47,Yes,8,8,23.0,94,43935,Yes,Placed,At Risk,Poor
1,83,Yes,6,6,60.0,62,69752,Yes,Not Placed,Safe,Good
8,92,No,4,4,83.0,86,73483,No,Not Placed,Safe,Excellent
4,72,Yes,8,9,56.0,94,43434,Yes,Placed,Safe,Average
1,62,No,8,9,37.0,60,42802,Yes,Placed,At Risk,Poor
7,52,No,5,8,43.0,91,27081,No,Placed,Safe,Average
5,93,No,7,1,76.0,99,42826,No,Placed,Safe,Good
5,92,No,8,6,83.0,79,82914,No,Not Placed,Safe,Excellent
1,88,No,6,8,63.0,89,73997,No,Not Placed,Safe,Good
6,53,Yes,7,1,39.0,90,21243,Yes,Not Placed,At Risk,Poor
9,53,Yes,4,9,48.0,75,33642,No,Not Placed,Safe,Average
9,55,Yes,7,5,53.0,94,48875,Yes,Not Placed,Safe,Average
8,88,Yes,5,8,84.0,74,60405,No,Placed,Safe,Excellent
5,77,No,4,2,63.0,77,47208,Yes,Placed,Safe,Good
1,97,Yes,8,7,73.0,80,82621,Yes,Placed,Safe,Good
9,99,No,9,4,99.0,94,69575,No,Not Placed,Safe,Excellent
1,78,No,4,6,52.0,79,97584,Yes,Placed,Safe,Average
8,65,Yes,4,2,58.0,64,84010,Yes,Not Placed,Safe,Average
5,65,Yes,5,7,50.0,62,51061,Yes,Not Placed,Safe,Average
3,40,No,6,1,18.0,97,72163,No,Placed,At Risk,Poor
7,71,Yes,4,7,62.0,82,92496,No,Not Placed,Safe,Good
7,96,Yes,6,1,87.0,65,30769,Yes,Placed,Safe,Excellent
9,54,Yes,7,6,53.0,82,67963,Yes,Placed,Safe,Average
7,91,Yes,9,1,87.0,91,86330,Yes,Placed,Safe,Excellent
3,60,No,5,6,37.0,71,48945,No,Placed,At Risk,Poor
1,57,No,8,0,31.0,95,45441,Yes,Not Placed,At Risk,Poor
8,69,Yes,4,5,63.0,91,91927,Yes,Not Placed,Safe,Good
3,99,No,9,9,81.0,87,63739,No,Placed,Safe,Excellent
8,97,No,9,6,95.0,67,76119,No,Placed,Safe,Excellent
8,52,Yes,6,3,45.0,83,90828,Yes,Not Placed,Safe,Average
5,63,Yes,4,0,48.0,93,38861,Yes,Not Placed,Safe,Average
1,69,No,9,5,47.0,66,73027,No,Placed,Safe,Average
7,41,No,5,3,31.0,70,34493,Yes,Not Placed,At Risk,Poor
5,58,No,8,2,43.0,70,65224,Yes,Not Placed,Safe,Average
8,86,Yes,7,3,82.0,80,29849,No,Placed,Safe,Excellent
9,83,No,7,5,80.0,79,52193,Yes,Placed,Safe,Excellent
7,86,No,6,4,76.0,81,30463,No,Not Placed,Safe,Good
7,64,Yes,9,1,57.0,78,39160,Yes,Placed,Safe,Average
1,89,No,7,1,64.0,72,92054,Yes,Placed,Safe,Good
4,53,Yes,6,2,35.0,81,31118,Yes,Not Placed,At Risk,Poor
2,45,Yes,8,5,24.0,96,90674,Yes,Placed,At Risk,Poor
2,51,No,4,0,30.0,68,61145,No,Placed,At Risk,Poor
2,59,Yes,5,6,38.0,79,63040,No,Placed,At Risk,Poor
4,62,Yes,8,7,45.0,86,40450,Yes,Placed,Safe,Average
1,69,No,8,6,44.0,63,40087,Yes,Not Placed,Safe,Average
4,69,Yes,7,2,53.0,98,78239,No,Placed,Safe,Average
2,77,No,7,5,53.0,65,77208,No,Placed,Safe,Average
5,97,Yes,5,3,84.0,92,96074,Yes,Placed,Safe,Excellent
3,69,Yes,4,4,47.0,74,58346,No,Not Placed,Safe,Average
8,80,No,8,2,76.0,73,53440,Yes,Placed,Safe,Good
4,69,No,9,4,57.0,66,81641,Yes,Not Placed,Safe,Average
1,96,No,7,5,71.0,66,46725,Yes,Not Placed,Safe,Good
1,97,Yes,8,7,74.0,72,61671,Yes,Not Placed,Safe,Good
3,75,No,4,5,54.0,65,44122,No,Not Placed,Safe,Average
9,88,Yes,6,8,84.0,71,65697,No,Not Placed,Safe,Excellent
7,73,No,4,9,62.0,79,47327,No,Placed,Safe,Good
2,55,Yes,8,9,35.0,88,81049,Yes,Not Placed,At Risk,Poor
9,63,No,8,9,62.0,93,29048,Yes,Not Placed,Safe,Good
2,53,Yes,5,9,30.0,87,26427,No,Placed,At Risk,Poor
3,65,No,8,3,47.0,67,31642,No,Not Placed,Safe,Average
2,47,Yes,7,1,25.0,62,20691,No,Placed,At Risk,Poor
3,53,Yes,9,8,40.0,60,94702,Yes,Placed,Safe,Average
6,70,Yes,5,2,56.0,74,69642,Yes,Not Placed,Safe,Average
9,41,Yes,8,6,38.0,85,34738,No,Not Placed,At Risk,Poor
9,87,No,4,3,86.0,72,56011,Yes,Placed,Safe,Excellent
7,43,Yes,8,0,38.0,85,40976,Yes,Not Placed,At Risk,Poor
3,40,No,4,7,17.0,81,95127,No,Not Placed,At Risk,Poor
4,94,Yes,4,3,75.0,71,79495,No,Placed,Safe,Good
6,59,No,8,5,48.0,72,42162,No,Placed,Safe,Average
5,98,Yes,4,6,87.0,75,48024,Yes,Not Placed,Safe,Excellent
2,53,Yes,9,7,32.0,82,87028,No,Not Placed,At Risk,Poor
6,79,No,6,9,68.0,73,57914,Yes,Not Placed,Safe,Good
3,64,No,5,1,42.0,96,49287,No,Placed,Safe,Average
8,99,Yes,8,8,96.0,82,31414,No,Not Placed,Safe,Excellent
2,64,No,6,9,42.0,69,65342,No,Not Placed,Safe,Average
1,42,No,4,2,18.0,73,27717,No,Placed,At Risk,Poor
9,44,No,4,0,41.0,72,30694,No,Not Placed,Safe,Average
3,77,Yes,5,1,54.0,61,43679,No,Placed,Safe,Average
1,93,No,6,7,67.0,91,76504,Yes,Placed,Safe,Good
7,65,Yes,6,9,57.0,95,25257,Yes,Placed,Safe,Average
5,79,No,8,5,65.0,77,85010,No,Not Placed,Safe,Good
5,77,No,4,0,62.0,80,56361,Yes,Not Placed,Safe,Good
1,77,Yes,7,8,56.0,69,25643,Yes,Not Placed,Safe,Average
9,43,No,8,6,39.0,86,58737,Yes,Not Placed,At Risk,Poor
7,46,No,8,9,38.0,86,59770,Yes,Not Placed,At Risk,Poor
8,69,No,8,2,65.0,71,35952,Yes,Placed,Safe,Good
9,69,No,5,6,68.0,91,82647,Yes,Not Placed,Safe,Good
6,95,No,5,5,82.0,87,75851,Yes,Not Placed,Safe,Excellent
5,58,No,8,2,44.0,67,96318,No,Not Placed,Safe,Average
6,78,No,9,7,67.0,83,79617,No,Not Placed,Safe,Good
2,74,Yes,7,0,53.0,96,52380,No,Not Placed,Safe,Average
4,79,Yes,6,4,61.0,98,29527,No,Not Placed,Safe,Good
3,72,Yes,6,7,53.0,85,39854,Yes,Not Placed,Safe,Average
7,72,Yes,4,2,61.0,72,39985,No,Not Placed,Safe,Good
9,53,Yes,6,9,49.0,66,50094,No,Not Placed,Safe,Average
5,77,No,6,5,61.0,73,93878,No,Placed,Safe,Good
6,49,Yes,7,9,38.0,99,21081,No,Placed,At Risk,Poor
2,96,Yes,6,1,76.0,90,77945,Yes,Placed,Safe,Good
3,67,No,7,8,47.0,86,27956,Yes,Placed,Safe,Average
3,53,Yes,5,1,32.0,91,38270,Yes,Not Placed,At Risk,Poor
9,75,No,7,4,71.0,86,93452,Yes,Not Placed,Safe,Good
7,77,No,5,2,69.0,82,45974,No,Not Placed,Safe,Good
8,55,Yes,7,9,53.0,61,95117,Yes,Placed,Safe,Average
9,99,Yes,8,8,100.0,70,37996,No,Placed,Safe,Excellent
6,60,No,9,8,49.0,95,89749,No,Not Placed,Safe,Average
4,67,No,5,6,48.0,72,35564,No,Not Placed,Safe,Average
1,72,Yes,5,9,45.0,97,51699,Yes,Not Placed,Safe,Average
8,45,No,6,4,40.0,71,31684,Yes,Placed,Safe,Average
7,80,Yes,5,8,71.0,96,59835,Yes,Not Placed,Safe,Good
2,54,Yes,7,6,34.0,69,36233,Yes,Placed,At Risk,Poor
8,83,Yes,8,1,76.0,88,65846,Yes,Not Placed,Safe,Good
5,42,Yes,8,9,29.0,94,74146,No,Placed,At Risk,Poor
7,82,No,6,0,71.0,91,54753,No,Not Placed,Safe,Good
4,86,No,7,9,69.0,97,33319,Yes,Not Placed,Safe,Good
5,74,Yes,7,9,58.0,73,80180,Yes,Not Placed,Safe,Average
8,53,Yes,4,3,43.0,74,29607,Yes,Not Placed,Safe,Average
1,41,No,5,9,17.0,74,82148,Yes,Placed,At Risk,Poor
1,68,No,6,7,41.0,83,21924,No,Placed,Safe,Average
4,43,No,8,5,27.0,94,62544,No,Not Placed,At Risk,Poor
3,65,No,9,1,45.0,97,80531,No,Placed,Safe,Average
2,90,No,4,4,65.0,70,51830,No,Placed,Safe,Good
3,51,Yes,7,8,31.0,70,95398,Yes,Not Placed,At Risk,Poor
1,41,Yes,5,5,14.0,72,96741,No,Not Placed,At Risk,Poor
1,56,Yes,8,5,33.0,96,40562,No,Placed,At Risk,Poor
6,74,Yes,4,6,60.0,73,69536,No,Not Placed,Safe,Good
5,49,No,7,4,34.0,99,39845,No,Not Placed,At Risk,Poor
8,87,No,8,2,82.0,99,55408,Yes,Not Placed,Safe,Excellent
2,61,Yes,8,2,40.0,98,92242,No,Placed,Safe,Average
4,80,Yes,7,4,66.0,67,21389,Yes,Placed,Safe,Good
8,82,No,7,3,76.0,70,67498,No,Placed,Safe,Good
6,60,Yes,6,4,46.0,97,90673,Yes,Not Placed,Safe,Average
1,54,Yes,8,8,31.0,79,79993,Yes,Placed,At Risk,Poor
4,74,No,7,4,57.0,62,36147,No,Not Placed,Safe,Average
1,87,No,9,3,65.0,92,53457,No,Placed,Safe,Good
2,60,No,9,3,38.0,73,41114,No,Not Placed,At Risk,Poor
5,60,Yes,4,0,46.0,89,42069,No,Not Placed,Safe,Average
8,60,No,5,9,53.0,63,69210,No,Placed,Safe,Average
8,99,No,9,3,97.0,95,91686,Yes,Placed,Safe,Excellent
3,83,Yes,6,3,63.0,79,80282,Yes,Not Placed,Safe,Good
4,71,No,7,8,55.0,87,44849,No,Placed,Safe,Average
6,94,Yes,5,3,79.0,65,72382,No,Not Placed,Safe,Good
3,44,Yes,6,6,26.0,97,79617,Yes,Not Placed,At Risk,Poor
2,78,Yes,8,0,55.0,97,49799,Yes,Placed,Safe,Average
6,48,Yes,5,6,37.0,97,91059,No,Not Placed,At Risk,Poor
5,92,No,9,1,78.0,85,96483,No,Placed,Safe,Good
5,57,Yes,6,7,45.0,64,34191,Yes,Not Placed,Safe,Average
5,60,No,7,0,45.0,74,99829,No,Placed,Safe,Average
5,47,No,7,9,34.0,63,59337,No,Placed,At Risk,Poor
3,83,No,6,2,66.0,97,98630,Yes,Placed,Safe,Good
7,91,No,8,7,79.0,91,85242,Yes,Not Placed,Safe,Good
6,73,No,9,9,63.0,78,38594,Yes,Placed,Safe,Good
4,49,Yes,6,7,32.0,76,52453,No,Placed,At Risk,Poor
2,90,No,4,4,64.0,83,78399,No,Placed,Safe,Good
9,80,Yes,6,4,78.0,89,42200,Yes,Placed,Safe,Good
1,96,Yes,6,7,69.0,74,20611,Yes,Placed,Safe,Good
4,63,Yes,9,9,46.0,66,38374,Yes,Not Placed,Safe,Average
1,79,No,7,4,54.0,75,86950,No,Placed,Safe,Average
6,63,No,8,8,51.0,98,35667,No,Not Placed,Safe,Average
4,95,No,6,0,78.0,98,77300,No,Not Placed,Safe,Good
5,71,No,5,4,54.0,79,59102,No,Placed,Safe,Average
5,95,Yes,7,2,80.0,89,90446,Yes,Placed,Safe,Excellent
9,72,No,7,2,67.0,76,72068,Yes,Not Placed,Safe,Good
1,77,No,6,1,48.0,90,55639,No,Not Placed,Safe,Average
2,83,Yes,9,2,61.0,60,96536,No,Placed,Safe,Good
6,96,Yes,5,6,83.0,78,79263,Yes,Not Placed,Safe,Excellent
5,95,Yes,6,7,82.0,82,37508,Yes,Placed,Safe,Excellent
7,90,Yes,5,7,78.0,86,40817,No,Placed,Safe,Good
3,98,Yes,7,7,78.0,86,34173,Yes,Placed,Safe,Good
3,88,Yes,5,0,70.0,69,26097,Yes,Not Placed,Safe,Good
2,73,Yes,6,6,48.0,97,35205,No,Not Placed,Safe,Average
3,50,No,4,1,26.0,94,94036,No,Not Placed,At Risk,Poor
1,70,No,4,9,46.0,62,43040,Yes,Not Placed,Safe,Average
5,57,Yes,5,3,42.0,82,82632,No,Placed,Safe,Average
5,62,Yes,9,4,46.0,73,32298,No,Not Placed,Safe,Average
7,99,No,6,0,91.0,68,30953,Yes,Not Placed,Safe,Excellent
4,61,Yes,8,3,47.0,92,36735,No,Placed,Safe,Average
3,82,Yes,4,3,61.0,81,94056,Yes,Not Placed,Safe,Good
1,57,Yes,7,8,31.0,90,75953,Yes,Not Placed,At Risk,Poor
8,79,Yes,6,8,71.0,70,39205,Yes,Placed,Safe,Good
3,86,Yes,6,9,66.0,89,29121,Yes,Not Placed,Safe,Good
2,80,No,4,0,52.0,64,32635,Yes,Not Placed,Safe,Average
4,86,Yes,8,7,71.0,67,41175,Yes,Placed,Safe,Good
3,78,Yes,7,3,60.0,67,39821,Yes,Not Placed,Safe,Good
1,59,Yes,8,3,32.0,87,30436,No,Placed,At Risk,Poor
3,52,No,7,4,33.0,68,80940,Yes,Placed,At Risk,Poor
2,84,No,4,1,56.0,77,61954,Yes,Placed,Safe,Average
8,40,Yes,6,0,32.0,60,53595,Yes,Placed,At Risk,Poor
6,91,Yes,7,4,76.0,88,24941,Yes,Not Placed,Safe,Good
9,43,Yes,6,6,40.0,80,89802,Yes,Placed,Safe,Average
8,63,Yes,5,9,60.0,83,28014,Yes,Not Placed,Safe,Good
3,75,No,5,8,54.0,80,30090,No,Not Placed,Safe,Average
5,75,No,4,1,59.0,93,32736,No,Placed,Safe,Average
7,84,Yes,4,7,74.0,90,28567,No,Not Placed,Safe,Good
5,41,Yes,9,6,29.0,72,29663,No,Placed,At Risk,Poor
8,67,No,4,1,61.0,85,21519,No,Placed,Safe,Good
5,65,No,5,4,50.0,93,37656,Yes,Placed,Safe,Average
1,62,Yes,7,6,36.0,71,57117,Yes,Not Placed,At Risk,Poor
5,54,Yes,8,2,41.0,72,81596,Yes,Not Placed,Safe,Average
4,75,Yes,4,1,60.0,77,89919,No,Not Placed,Safe,Good
6,66,No,8,5,56.0,93,40726,No,Placed,Safe,Average
3,45,No,8,9,23.0,64,26134,No,Not Placed,At Risk,Poor
5,74,No,5,5,63.0,69,55397,No,Placed,Safe,Good
2,78,No,9,3,54.0,97,29077,No,Placed,Safe,Average
6,77,Yes,7,0,64.0,70,69137,Yes,Not Placed,Safe,Good
6,74,No,5,4,64.0,66,53747,Yes,Not Placed,Safe,Good
5,75,No,4,0,58.0,65,20423,Yes,Placed,Safe,Average
6,49,No,5,7,38.0,66,40731,Yes,Not Placed,At Risk,Poor
7,69,Yes,5,1,60.0,65,74902,No,Placed,Safe,Good
5,92,No,5,8,79.0,69,96354,Yes,Not Placed,Safe,Good
1,80,No,4,8,57.0,63,38960,No,Not Placed,Safe,Average
8,77,No,4,2,69.0,65,25468,No,Placed,Safe,Good
4,68,Yes,5,5,51.0,74,86739,No,Not Placed,Safe,Average
9,91,No,5,8,86.0,68,45739,Yes,Not Placed,Safe,Excellent
6,98,Yes,8,6,90.0,67,92245,Yes,Placed,Safe,Excellent
1,82,Yes,7,3,57.0,92,55509,No,Placed,Safe,Average
3,78,No,8,2,61.0,65,28559,Yes,Placed,Safe,Good
3,89,Yes,9,1,71.0,72,82468,Yes,Placed,Safe,Good
4,43,No,7,9,30.0,73,41330,No,Not Placed,At Risk,Poor
6,44,Yes,9,9,34.0,73,96793,No,Not Placed,At Risk,Poor
7,43,Yes,7,0,34.0,76,64074,No,Placed,At Risk,Poor
4,75,No,5,9,58.0,81,33553,No,Not Placed,Safe,Average
6,98,No,8,0,85.0,93,33418,Yes,Placed,Safe,Excellent
1,84,Yes,7,3,55.0,82,26863,Yes,Placed,Safe,Average
8,55,Yes,9,3,51.0,72,28232,Yes,Not Placed,Safe,Average
7,64,Yes,7,8,53.0,79,20546,Yes,Placed,Safe,Average
9,53,Yes,4,9,51.0,92,58169,Yes,Not Placed,Safe,Average
3,50,No,7,0,31.0,83,33285,No,Placed,At Risk,Poor
2,68,Yes,5,3,44.0,73,86228,No,Not Placed,Safe,Average
1,73,Yes,6,2,48.0,62,50207,No,Placed,Safe,Average
3,61,No,4,8,41.0,81,98470,No,Not Placed,Safe,Average
5,53,Yes,6,4,40.0,80,53657,No,Not Placed,Safe,Average
2,95,No,5,8,72.0,66,97059,No,Placed,Safe,Good
3,63,No,6,9,41.0,64,22423,Yes,Not Placed,Safe,Average
4,98,No,7,5,78.0,99,37282,Yes,Placed,Safe,Good
7,78,Yes,6,8,70.0,83,33699,No,Not Placed,Safe,Good
3,65,No,8,0,41.0,68,41962,Yes,Not Placed,Safe,Average
9,82,No,5,3,78.0,60,32794,Yes,Not Placed,Safe,Good
8,75,No,8,3,70.0,96,33668,No,Placed,Safe,Good
4,78,Yes,6,9,61.0,95,81892,Yes,Placed,Safe,Good
1,55,Yes,8,9,33.0,60,23312,Yes,Placed,At Risk,Poor
1,97,Yes,4,5,71.0,72,88345,Yes,Not Placed,Safe,Good
1,77,Yes,6,9,51.0,85,31864,No,Placed,Safe,Average
1,98,No,9,0,72.0,68,67529,Yes,Placed,Safe,Good
8,71,No,8,9,69.0,95,50743,Yes,Not Placed,Safe,Good
3,45,No,7,4,21.0,62,74332,No,Placed,At Risk,Poor
6,73,Yes,6,2,61.0,95,27707,Yes,Placed,Safe,Good
3,95,No,9,0,76.0,96,97301,Yes,Not Placed,Safe,Good
5,47,Yes,4,5,30.0,89,51516,No,Placed,At Risk,Poor
7,69,Yes,7,2,59.0,86,45258,Yes,Placed,Safe,Average
2,66,Yes,6,3,45.0,80,35566,Yes,Placed,Safe,Average
6,46,No,7,8,39.0,81,43840,Yes,Placed,At Risk,Poor
6,66,No,6,1,53.0,75,33577,Yes,Not Placed,Safe,Average
3,64,Yes,6,0,43.0,69,20953,Yes,Placed,Safe,Average
6,95,No,5,9,85.0,95,84884,Yes,Not Placed,Safe,Excellent
5,85,Yes,8,5,70.0,83,83782,Yes,Placed,Safe,Good
2,80,No,6,0,56.0,72,79509,No,Placed,Safe,Average
9,54,Yes,4,0,52.0,71,70490,Yes,Placed,Safe,Average
8,64,Yes,9,6,65.0,74,73273,Yes,Placed,Safe,Good
3,61,Yes,8,1,39.0,73,98853,No,Not Placed,At Risk,Poor
8,57,No,5,3,48.0,98,23557,No,Not Placed,Safe,Average
9,51,No,8,3,47.0,79,29860,Yes,Not Placed,Safe,Average
3,62,No,8,1,41.0,86,87245,No,Not Placed,Safe,Average
3,90,No,6,5,72.0,73,47651,Yes,Placed,Safe,Good
2,84,No,4,9,61.0,90,38069,No,Not Placed,Safe,Good
8,78,Yes,6,1,74.0,91,63076,Yes,Not Placed,Safe,Good
1,64,No,4,7,38.0,86,39398,No,Not Placed,At Risk,Poor
8,49,Yes,4,3,42.0,82,61062,No,Placed,Safe,Average
7,69,No,7,0,60.0,70,69352,Yes,Not Placed,Safe,Good
7,49,No,6,6,35.0,61,94167,No,Not Placed,At Risk,Poor
3,73,No,5,5,52.0,88,21393,Yes,Not Placed,Safe,Average
1,85,Yes,9,5,61.0,84,41623,No,Placed,Safe,Good
4,52,No,8,2,32.0,71,78581,No,Not Placed,At Risk,Poor
9,93,Yes,7,9,95.0,98,89791,Yes,Not Placed,Safe,Excellent
5,68,No,5,6,53.0,90,54674,No,Not Placed,Safe,Average
1,77,Yes,9,5,54.0,88,93073,No,Not Placed,Safe,Average
5,80,Yes,9,9,70.0,84,37583,No,Placed,Safe,Good
8,84,Yes,6,9,78.0,99,80256,Yes,Not Placed,Safe,Good
8,48,Yes,4,8,42.0,72,83722,Yes,Not Placed,Safe,Average
5,52,No,6,2,33.0,68,62250,No,Not Placed,At Risk,Poor
9,76,No,9,2,75.0,76,78187,Yes,Not Placed,Safe,Good
1,53,Yes,6,3,26.0,94,68224,Yes,Not Placed,At Risk,Poor
4,76,No,7,2,58.0,76,34077,No,Not Placed,Safe,Average
3,48,Yes,5,3,29.0,84,42136,No,Placed,At Risk,Poor
2,47,No,9,5,29.0,70,35290,Yes,Not Placed,At Risk,Poor
8,78,No,7,0,70.0,83,35473,No,Placed,Safe,Good
7,79,No,5,1,67.0,68,33065,Yes,Not Placed,Safe,Good
9,93,Yes,7,9,93.0,84,72558,No,Placed,Safe,Excellent
2,42,No,8,5,21.0,60,99745,Yes,Placed,At Risk,Poor
4,94,Yes,4,5,74.0,91,59822,No,Not Placed,Safe,Good
6,95,No,4,0,82.0,86,62874,No,Not Placed,Safe,Excellent
3,86,Yes,4,5,65.0,72,27280,No,Not Placed,Safe,Good
8,79,No,8,8,75.0,86,59225,Yes,Placed,Safe,Good
3,72,Yes,9,7,55.0,90,76359,Yes,Placed,Safe,Average
2,71,Yes,9,9,54.0,96,27687,Yes,Not Placed,Safe,Average
3,46,Yes,8,4,26.0,92,54249,Yes,Not Placed,At Risk,Poor
6,58,No,4,3,48.0,90,24404,No,Placed,Safe,Average
2,73,Yes,4,5,49.0,65,63917,No,Not Placed,Safe,Average
8,53,No,5,4,49.0,70,28689,Yes,Placed,Safe,Average
1,89,Yes,5,5,64.0,82,97097,No,Not Placed,Safe,Good
7,86,Yes,6,9,81.0,87,81522,Yes,Not Placed,Safe,Excellent
2,85,Yes,7,2,64.0,89,85562,Yes,Not Placed,Safe,Good
6,95,No,5,6,82.0,61,33912,Yes,Not Placed,Safe,Excellent
2,96,No,5,7,74.0,78,91727,No,Not Placed,Safe,Good
2,58,No,5,4,32.0,70,56696,No,Placed,At Risk,Poor
8,90,No,5,4,83.0,69,49069,No,Placed,Safe,Excellent
2,93,No,8,3,68.0,74,33530,No,Not Placed,Safe,Good
7,98,No,6,9,90.0,76,82519,Yes,Not Placed,Safe,Excellent
3,65,No,5,4,44.0,89,87880,Yes,Not Placed,Safe,Average
